mir,disease,pmid
hsa-mir-30d,Lupus Vulgaris,18508790
hsa-mir-324,Lupus Vulgaris,18508790
hsa-mir-346,Lupus Vulgaris,18508790
hsa-mir-365a,Lupus Vulgaris,18508790
hsa-mir-365b,Lupus Vulgaris,18777135
hsa-mir-423,Lupus Vulgaris,18823650
hsa-mir-484,Lupus Vulgaris,18834879
hsa-mir-486,Lupus Vulgaris,18834879
hsa-mir-500a,Lupus Vulgaris,18834879
hsa-mir-518b,Lupus Vulgaris,18925646
hsa-mir-557,Lupus Vulgaris,18925646
hsa-mir-596,Lupus Vulgaris,18936236
hsa-mir-602,Lupus Vulgaris,18941111
hsa-mir-611,Lupus Vulgaris,18941111
hsa-mir-615,Lupus Vulgaris,18941111
hsa-mir-629,Lupus Vulgaris,18941111
hsa-mir-637,Lupus Vulgaris,18941111
hsa-mir-642a,Lupus Vulgaris,18941111
hsa-mir-654,Lupus Vulgaris,18941111
hsa-mir-663a,Lupus Vulgaris,18941111
hsa-mir-769,Lupus Vulgaris,18942116
hsa-mir-99a,Lupus Vulgaris,18942116
hsa-mir-181a-2,Leukemia,18942116
hsa-mir-199b,Leukemia,18987751
hsa-mir-378a,Leukemia,18987751
hsa-mir-454,Leukemia,18998140
hsa-mir-575,Leukemia,18998140
hsa-mir-10a,"Leukemia, Myeloid, Chronic-Phase",18998140
hsa-mir-22,"Leukemia, Lymphocytic, Chronic, B-Cell",18998140
hsa-mir-373,"Leukemia-Lymphoma, Precursor B-Cell Lymphoblastic",18998140
hsa-mir-451a,"Leukemia-Lymphoma, Precursor B-Cell Lymphoblastic",18998140
hsa-mir-346,Schizophrenia,18998140
hsa-mir-150,Marek Disease,18998140
hsa-mir-223,Marek Disease,18998140
hsa-mir-363,Autistic Disorder,18998140
hsa-mir-92a-1,Autistic Disorder,18998140
hsa-mir-92a-2,Autistic Disorder,18998140
hsa-mir-181b-1,"Leukemia, Lymphocytic, Chronic, B-Cell",18998140
hsa-mir-181b-2,"Leukemia, Lymphocytic, Chronic, B-Cell",18998140
hsa-mir-181c,"Leukemia, Lymphocytic, Chronic, B-Cell",18998140
hsa-mir-29b-2,"Leukemia, Lymphocytic, Chronic, B-Cell",18998140
hsa-mir-145,Atherosclerosis,18998140
hsa-mir-150,Sepsis,18998140
hsa-mir-199b,Choriocarcinoma,18998140
hsa-mir-146a,Sepsis,18998140
hsa-mir-223,Sepsis,18998140
hsa-mir-200a,Glomerulonephritis,18998140
hsa-mir-200b,Glomerulonephritis,18998140
hsa-mir-429,Glomerulonephritis,18998140
hsa-mir-106b,"Child Development Disorders, Pervasive",18998140
hsa-let-7i,Melanoma,18998140
hsa-mir-106b,Melanoma,19022373
hsa-mir-107,Melanoma,19022373
hsa-mir-17,Melanoma,19022373
hsa-mir-20a,Melanoma,19022373
hsa-mir-20b,Melanoma,19022373
hsa-mir-214,Melanoma,19074828
hsa-mir-216a,Melanoma,19144983
hsa-mir-217,Melanoma,19144983
hsa-mir-221,Melanoma,19206004
hsa-mir-330,Melanoma,19206004
hsa-mir-452,Melanoma,19242066
hsa-mir-509-3,Melanoma,19242066
hsa-mir-517a,Melanoma,19264453
hsa-mir-518e,Melanoma,19297609
hsa-mir-519b,Melanoma,19297609
hsa-mir-593,Melanoma,19360674
hsa-mir-621,Melanoma,19360674
hsa-mir-646,Melanoma,19360674
hsa-mir-767,Melanoma,19717645
hsa-mir-126,"Diabetes Mellitus, Type 2",19717645
hsa-mir-15a,"Diabetes Mellitus, Type 2",19717645
hsa-mir-191,"Diabetes Mellitus, Type 2",19717645
hsa-mir-197,"Diabetes Mellitus, Type 2",19717645
hsa-mir-20b,"Diabetes Mellitus, Type 2",19744308
hsa-mir-21,"Diabetes Mellitus, Type 2",19823581
hsa-mir-223,"Diabetes Mellitus, Type 2",19900756
hsa-mir-24-1,"Diabetes Mellitus, Type 2",20188071
hsa-mir-24-2,"Diabetes Mellitus, Type 2",20188071
hsa-mir-320a,"Diabetes Mellitus, Type 2",20364043
hsa-mir-486,"Diabetes Mellitus, Type 2",20364043
hsa-mir-101-1,"Lymphoma, Large-Cell, Anaplastic",20364043
hsa-mir-101-2,"Lymphoma, Large-Cell, Anaplastic",20374639
hsa-mir-181b-1,Autistic Disorder,20393129
hsa-mir-486,Autistic Disorder,20393129
hsa-mir-27a,Leukemia,20529253
hsa-mir-331,Leukemia,20529253
hsa-mir-181a-2,"Leukemia, Lymphocytic, Chronic, B-Cell",20529253
hsa-mir-29b-1,"Leukemia, Lymphocytic, Chronic, B-Cell",20529253
hsa-let-7d,Pancreatic Neoplasms,20529253
hsa-mir-146a,Pancreatic Neoplasms,20529253
hsa-mir-126,Heart Failure,20529253
hsa-mir-424,Hemangioma,20529253
hsa-mir-503,Diabetes Mellitus,20529253
hsa-mir-125b-1,Human Immunodeficiency Virus Infection,20529253
hsa-mir-125b-2,Human Immunodeficiency Virus Infection,20529253
hsa-mir-150,Human Immunodeficiency Virus Infection,20529253
hsa-mir-28,Human Immunodeficiency Virus Infection,20529253
hsa-mir-382,Human Immunodeficiency Virus Infection,20529253
hsa-let-7a-1,"Carcinoma, Renal Cell",20529253
hsa-let-7a-2,"Carcinoma, Renal Cell",20529253
hsa-let-7a-3,"Carcinoma, Renal Cell",20529253
hsa-let-7b,"Carcinoma, Renal Cell",20529253
hsa-let-7c,"Carcinoma, Renal Cell",20529253
hsa-let-7d,"Carcinoma, Renal Cell",20529253
hsa-let-7e,"Carcinoma, Renal Cell",20651284
hsa-let-7f-1,"Carcinoma, Renal Cell",20651284
hsa-let-7f-2,"Carcinoma, Renal Cell",20651284
hsa-let-7g,"Carcinoma, Renal Cell",20651284
hsa-let-7i,"Carcinoma, Renal Cell",20651284
hsa-mir-26a-1,"Carcinoma, Renal Cell",20651284
hsa-mir-26a-2,"Carcinoma, Renal Cell",20651284
hsa-mir-30c-1,"Carcinoma, Renal Cell",20651284
hsa-mir-30c-2,"Carcinoma, Renal Cell",20651284
hsa-let-7b,"Leukemia-Lymphoma, Precursor T-Cell Lymphoblastic",20651284
hsa-mir-16-1,"Carcinoma, Hepatocellular",20651284
hsa-mir-16-2,"Carcinoma, Hepatocellular",20805506
hsa-mir-199a-1,"Carcinoma, Hepatocellular",20805506
hsa-mir-199a-2,"Carcinoma, Hepatocellular",20868653
hsa-mir-1-1,Hypertrophy,20868653
hsa-mir-1-2,Hypertrophy,21070600
hsa-mir-133a-1,Hypertrophy,21070600
hsa-mir-133a-2,Hypertrophy,21130495
hsa-mir-101-1,Glioblastoma,21130495
hsa-mir-101-2,Glioblastoma,21130495
hsa-mir-141,Systemic Lupus Erythematosus,21130495
hsa-mir-192,Systemic Lupus Erythematosus,21130495
hsa-mir-200a,Systemic Lupus Erythematosus,21130495
hsa-mir-200b,Systemic Lupus Erythematosus,21130495
hsa-mir-200c,Systemic Lupus Erythematosus,21139804
hsa-mir-205,Systemic Lupus Erythematosus,21139804
hsa-mir-429,Systemic Lupus Erythematosus,21157109
hsa-mir-92a-1,Lymphoma,21179471
hsa-mir-92a-2,Lymphoma,21220732
hsa-mir-103a-1,"Leukemia, Lymphocytic, Chronic, B-Cell",21224041
hsa-mir-103a-2,"Leukemia, Lymphocytic, Chronic, B-Cell",21224041
hsa-mir-16-1,"Leukemia-Lymphoma, Adult T-Cell",21224041
hsa-mir-100,"Carcinoma, Adrenocortical",21224041
hsa-mir-126,Mesothelioma,21224041
hsa-mir-451a,"Leukemia, Myeloid, Chronic",21229250
hsa-mir-106a,"Carcinoma, Lung, Non-Small-Cell",21229250
hsa-mir-146b,"Carcinoma, Lung, Non-Small-Cell",21229250
hsa-mir-155,"Carcinoma, Lung, Non-Small-Cell",21229250
hsa-mir-17,"Carcinoma, Lung, Non-Small-Cell",21229250
hsa-mir-221,"Carcinoma, Lung, Non-Small-Cell",21229250
hsa-mir-223,"Carcinoma, Lung, Non-Small-Cell",21229250
hsa-mir-27a,"Carcinoma, Lung, Non-Small-Cell",21229250
hsa-mir-590,Alzheimer Disease,21229250
hsa-mir-342,Glioblastoma,21229250
hsa-mir-671,Myelodysplastic Syndromes,21229250
hsa-mir-375,"Squamous Cell Carcinoma, Esophageal",21229250
hsa-mir-143,"Leukemia, Myeloid, Acute",21229250
hsa-mir-29a,"Leukemia, Myeloid, Acute",21229250
hsa-mir-21,"Carcinoma, Hepatocellular",21229250
hsa-mir-17,Lymphoma,21242186
hsa-mir-181a-2,Lymphoma,21278583
hsa-mir-19a,Lymphoma,21278583
hsa-mir-19b-1,Lymphoma,21278583
hsa-mir-19b-2,Lymphoma,21278583
hsa-mir-203,Lymphoma,21303526
hsa-mir-218-1,Lymphoma,21303526
hsa-mir-218-2,Lymphoma,21303526
hsa-mir-133b,Hypertension,21303526
hsa-mir-296,Hypertension,21321380
hsa-mir-152,Preeclampsia,21321380
hsa-mir-218-1,Urinary Bladder Cancer,21372198
hsa-mir-218-2,Urinary Bladder Cancer,21372198
hsa-mir-107,Breast Neoplasms,21372198
hsa-mir-1469,Breast Neoplasms,21372198
hsa-mir-1471,Breast Neoplasms,21372198
hsa-mir-182,Breast Neoplasms,21372198
hsa-mir-1915,Breast Neoplasms,21372198
hsa-mir-193a,Breast Neoplasms,21383985
hsa-mir-2355,Breast Neoplasms,21383985
hsa-mir-24-1,Breast Neoplasms,21408091
hsa-mir-24-2,Breast Neoplasms,21408091
hsa-mir-3130-1,Breast Neoplasms,21408091
hsa-mir-3130-2,Breast Neoplasms,21408091
hsa-mir-3186,Breast Neoplasms,21408091
hsa-mir-526a-1,Breast Neoplasms,21441948
hsa-mir-526a-2,Breast Neoplasms,21472710
hsa-mir-625,Breast Neoplasms,21483773
hsa-mir-718,Breast Neoplasms,21511335
hsa-mir-874,Breast Neoplasms,21544802
hsa-mir-181a-2,"Leukemia, Myeloid, Acute",21544802
hsa-mir-181b-1,"Leukemia, Myeloid, Acute",21544802
hsa-mir-181b-2,"Leukemia, Myeloid, Acute",21544802
hsa-mir-181c,"Leukemia, Myeloid, Acute",21544802
hsa-mir-181d,"Leukemia, Myeloid, Acute",21544802
hsa-mir-508,"Carcinoma, Renal Cell",21544802
hsa-mir-509-1,"Carcinoma, Renal Cell",21548758
hsa-mir-509-2,"Carcinoma, Renal Cell",21561454
hsa-mir-509-3,"Carcinoma, Renal Cell",21636858
hsa-let-7c,Eosinophilic Esophagitis,21636858
hsa-mir-144,Eosinophilic Esophagitis,21649547
hsa-mir-193a,Eosinophilic Esophagitis,21673684
hsa-mir-193b,Eosinophilic Esophagitis,21678057
hsa-mir-203,Eosinophilic Esophagitis,21678057
hsa-mir-210,Eosinophilic Esophagitis,21749846
hsa-mir-211,Eosinophilic Esophagitis,21818844
hsa-mir-30a,Eosinophilic Esophagitis,21910161
hsa-mir-365a,Eosinophilic Esophagitis,21910161
hsa-mir-375,Eosinophilic Esophagitis,21910161
hsa-mir-517a,Ectopic Pregnancy,21910161
hsa-mir-519d,Ectopic Pregnancy,21910161
hsa-mir-525,Ectopic Pregnancy,21910161
hsa-mir-142,"Carcinoma, Renal Cell",21910161
hsa-mir-150,"Carcinoma, Renal Cell",21910161
hsa-mir-19a,"Carcinoma, Renal Cell",21924071
hsa-mir-219,"Carcinoma, Renal Cell",21924071
hsa-mir-302b,"Carcinoma, Renal Cell",22095477
hsa-mir-302c,"Carcinoma, Renal Cell",22237456
hsa-mir-367,"Carcinoma, Renal Cell",22237456
hsa-mir-381,"Carcinoma, Renal Cell",22242178
hsa-mir-451a,"Carcinoma, Renal Cell",22242178
hsa-mir-154,Graves Disease,22242178
hsa-mir-376b,Graves Disease,22242178
hsa-mir-431,Graves Disease,22242178
hsa-mir-34a,Colorectal Carcinoma,22242178
hsa-mir-361,"Carcinoma, Lung, Non-Small-Cell",22242178
hsa-mir-625,"Carcinoma, Lung, Non-Small-Cell",22242178
hsa-mir-181a-2,Breast Neoplasms,22242178
hsa-let-7b,Prostate Neoplasms,22242178
hsa-mir-126,Myocardial Infarction,22242178
hsa-mir-21,Lung Neoplasms,22242178
hsa-mir-24,Lung Neoplasms,22242178
hsa-mir-92a-1,Multiple Myeloma,22242178
hsa-mir-155,Hepatitis C Virus Infection,22242178
hsa-mir-218-1,Gastric Neoplasms,22242178
hsa-mir-218-2,Gastric Neoplasms,22242178
hsa-mir-126,Lung Neoplasms,22251480
hsa-mir-145,Lung Neoplasms,22251480
hsa-mir-98,Lung Neoplasms,22251480
hsa-mir-409,Prostate Neoplasms,22251480
hsa-mir-125b,Prostate Neoplasms,22251480
hsa-mir-146a,Prostate Neoplasms,22369946
hsa-mir-421,Gastric Neoplasms,22369946
hsa-mir-21,Breast Neoplasms,22369946
hsa-mir-92a-1,Breast Neoplasms,22369946
hsa-mir-92a-2,Breast Neoplasms,22374169
hsa-mir-17,Systemic Lupus Erythematosus,22391115
hsa-mir-145,Systemic Lupus Erythematosus,22391115
hsa-mir-17,Endometriosis,22391115
hsa-mir-20a,Endometriosis,22391115
hsa-mir-22,Endometriosis,22391115
hsa-mir-146b,"Leukemia, Lymphocytic, Chronic, B-Cell",22391115
hsa-mir-186,"Leukemia, Lymphocytic, Chronic, B-Cell",22391115
hsa-mir-19a,"Leukemia, Lymphocytic, Chronic, B-Cell",22391115
hsa-mir-20a,"Leukemia, Lymphocytic, Chronic, B-Cell",22391115
hsa-mir-324,"Leukemia, Lymphocytic, Chronic, B-Cell",22391115
hsa-mir-484,"Leukemia, Lymphocytic, Chronic, B-Cell",22395025
hsa-mir-660,"Leukemia, Lymphocytic, Chronic, B-Cell",22395025
hsa-mir-198,Lung Neoplasms,22395025
hsa-mir-30a,Breast Neoplasms,22440013
hsa-mir-106a,Systemic Lupus Erythematosus,22440013
hsa-mir-203,Systemic Lupus Erythematosus,22440013
hsa-mir-20a,Systemic Lupus Erythematosus,22440013
hsa-mir-92a,Systemic Lupus Erythematosus,22440013
hsa-mir-133,Heart Failure,22440013
hsa-mir-197,Primary Biliary Cirrhosis,22440013
hsa-mir-505,Primary Biliary Cirrhosis,22440013
hsa-let-7f,Alzheimer Disease,22440013
hsa-mir-103a,Alzheimer Disease,22440013
hsa-mir-107,Alzheimer Disease,22440013
hsa-mir-1285,Alzheimer Disease,22440013
hsa-mir-26a,Alzheimer Disease,22440013
hsa-mir-26b,Alzheimer Disease,22440013
hsa-mir-532,Alzheimer Disease,22456620
hsa-mir-145,Myasthenia Gravis,22456620
hsa-mir-21,Leukemia,22456620
hsa-mir-15b,Multiple Sclerosis,22648208
hsa-mir-223,Multiple Sclerosis,22675530
hsa-mir-23a,Multiple Sclerosis,22675530
hsa-mir-1,Polycystic Kidney Disease,22692639
hsa-mir-29a,Parkinson Disease,22719071
hsa-mir-96,"Leukemia, Myeloid, Acute",22719221
hsa-mir-199b,"Leukemia, Myeloid, Chronic",22782668
hsa-let-7e,Retinoblastoma,22782668
hsa-mir-146,"Diabetes Mellitus, Type 1",22829237
hsa-mir-125b,Melanoma,22846613
hsa-mir-16,Melanoma,22860003
hsa-mir-107,Diabetes Mellitus,22860003
hsa-mir-146a,Diabetes Mellitus,22862169
hsa-mir-223,Diabetes Mellitus,22862169
hsa-mir-495,Diabetes Mellitus,22862169
hsa-let-7b,Crohn Disease,22862169
hsa-mir-9-1,Methylmalonic Acidemia,22862169
hsa-mir-155,Sjogren Syndrome,22862169
hsa-mir-1,Bladder Neoplasms,22862169
hsa-mir-16,Heart Failure,22887127
hsa-mir-195,Breast Neoplasms,22892455
hsa-mir-181b,Autism Spectrum Disorder,22892455
hsa-mir-21,Rheumatoid Arthritis,22926798
hsa-mir-146b,"Fatty Liver, Non-Alcoholic",22981932
hsa-mir-29a,"Fatty Liver, Non-Alcoholic",23052693
hsa-mir-124,Stroke,23052693
hsa-mir-9,Stroke,23052693
hsa-mir-320a,Multiple Sclerosis,23129428
hsa-mir-210,Acute Cerebral Infarction,23199328
hsa-mir-146a,"Diabetes Mellitus, Type 2",23203215
hsa-mir-155,"Diabetes Mellitus, Type 2",23203215
hsa-mir-22,Premature Ovarian Failure,23203215
hsa-mir-1,Arrhythmia,23286334
hsa-mir-223,"Leukemia, Myeloid, Acute",23286334
hsa-mir-218,"Carcinoma, Esophageal",23286334
hsa-mir-181b,Atherosclerosis,23286334
hsa-mir-16,Plasmodium vivax Infection,23286334
hsa-mir-451,Plasmodium vivax Infection,23286334
hsa-mir-148a,"Leukemia, Myeloid, Acute",23286334
hsa-mir-214,Acute Myocardial Infarction,23286334
hsa-mir-145,Coronary Artery Disease,23286334
hsa-mir-22,Rheumatoid Arthritis,23354517
hsa-mir-181c,Myasthenia Gravis,23372743
hsa-mir-130a,Spinal Cord Injuries,23389917
hsa-mir-126,Atherosclerosis,23401079
hsa-mir-33b,Multiple Myeloma,23401079
hsa-mir-374a,Hypoxic-Ischemic Encephalopathy,23401079
hsa-mir-146a,"Stroke, Ischemic",23401079
hsa-mir-143,Alzheimer Disease,23401079
hsa-mir-146a,Alzheimer Disease,23711953
hsa-mir-31,Alzheimer Disease,23776611
hsa-mir-93,Alzheimer Disease,23776611
hsa-mir-378,Dengue Virus Infection,23895045
hsa-mir-155,Diabetes Mellitus,23895045
hsa-mir-130b,Heart Failure,23895045
hsa-mir-143,Obesity,23895045
hsa-mir-335,Obesity,23895045
hsa-mir-205,Glioma,23895045
hsa-mir-203,Gastric Neoplasms,23895045
hsa-mir-126,Diabetes Mellitus,24043548
hsa-mir-15a,Diabetes Mellitus,24141112
hsa-mir-106a,Cholangiocarcinoma,24277735
hsa-mir-27a,Acute Heart Failure,24277735
hsa-mir-126,Acute Heart Failure,24277735
hsa-mir-122,Stroke,24489795
hsa-mir-150,Spondylarthritis,24648008
hsa-mir-181a,"Leukemia, Myeloid, Chronic",24678958
hsa-mir-106b,Human Immunodeficiency Virus Infection,24680705
hsa-mir-20a,Human Immunodeficiency Virus Infection,24748987
hsa-mir-146a,"Squamous Cell Carcinoma, Esophageal",24796653
hsa-mir-221,Prostate Neoplasms,24878024
hsa-mir-708,Prostate Neoplasms,24878024
hsa-mir-199b,"Leukemia, Myeloid, Acute",24908639
hsa-mir-199b,Polycystic Ovarian Syndrome,24908639
hsa-mir-34b,"Leukemia, Myeloid, Acute, Pediatric",24908639
hsa-mir-194,Cholangiocarcinoma,24908639
hsa-mir-483,Cholangiocarcinoma,24910152
hsa-mir-155,Chronic Hepatitis B,24927441
hsa-mir-106a,Aortic Stenosis,24931100
hsa-mir-148a,Aortic Stenosis,25015192
hsa-mir-204,Aortic Stenosis,25033200
hsa-mir-211,Aortic Stenosis,25103018
hsa-mir-30a,Aortic Stenosis,25126405
hsa-mir-31,Aortic Stenosis,25164131
hsa-mir-424,Aortic Stenosis,25232454
hsa-mir-1297,"Squamous Cell Carcinoma, Esophageal",25232454
hsa-mir-125b,"Carcinoma, Hepatocellular, HBV-Related",25257664
hsa-mir-181a,Human Immunodeficiency Virus Infection,25257664
hsa-mir-200c,Breast Neoplasms,25394245
hsa-mir-210,Breast Neoplasms,25468268
hsa-mir-182,Atherosclerosis,25476086
hsa-mir-181a,Allergic Rhinitis,25500583
hsa-mir-19a,Lung Fibrosis,25500583
hsa-mir-126,Coronary Artery Disease,25585503
hsa-mir-30,Atherosclerosis,25625292
hsa-mir-375,Diabetes Mellitus,25793640
hsa-mir-4505,Anxiety Disorders,25812647
hsa-mir-663,Anxiety Disorders,25896908
hsa-mir-320b,Carotid Artery Diseases,25913668
hsa-mir-335,Spinal Muscular Atrophy,25913668
hsa-mir-31,Systemic Lupus Erythematosus,25924238
hsa-mir-200b,Kideny Transplant Rejection,25931214
hsa-mir-29a,"Leukemia, Lymphoblastic",25938589
hsa-mir-663,Leukemia,25939484
hsa-mir-150,Cholangiocarcinoma,25962782
hsa-mir-155,"Fatty Liver, Non-Alcoholic",25973054
hsa-mir-335,Acute Ischemic Stroke,25975504
hsa-mir-126,Cardiovascular Diseases [unspecific],25975752
hsa-mir-132,Cardiovascular Diseases [unspecific],26001314
hsa-mir-27a,Heart Failure,26044809
hsa-mir-204,Aortic Valve Disease,26078483
hsa-mir-150,"Leukemia, Lymphocytic, Chronic, B-Cell",26078483
hsa-mir-155,Myocardial Infarction,26078483
hsa-mir-133a,Vascular Hypertrophy,26078483
hsa-let-7f,"Leukemia, Lymphoblastic, Acute, Childhood",26166761
hsa-mir-25,"Leukemia, Lymphoblastic, Acute, Childhood",26188366
hsa-mir-5100,"Leukemia, Lymphoblastic, Acute, Childhood",26211628
hsa-mir-18a,"Leukemia, Lymphoblastic, Acute",26223376
hsa-mir-638,"Carcinoma, Hepatocellular",26223376
hsa-mir-133a,Myocardial Infarction,26230475
hsa-mir-133b,Myocardial Infarction,26233325
hsa-mir-222,Preeclampsia,26299579
hsa-mir-34a,Pulmonary Hypertension,26420120
hsa-mir-204,Frontotemporal Dementia,26460159
hsa-mir-632,Frontotemporal Dementia,26534789
hsa-mir-17,Myocardial Infarction,26569364
hsa-mir-20a,"Diabetes Mellitus, Gestational",26580972
hsa-mir-221,Colorectal Carcinoma,26661204
hsa-mir-29a,Spinal Stenosis,26689798
hsa-let-7d,Familial Mediterranean Fever,26722250
hsa-mir-107,Familial Mediterranean Fever,26755399
hsa-mir-148b,Familial Mediterranean Fever,26755399
hsa-mir-122,Preeclampsia,26794279
hsa-mir-126,Preeclampsia,26831660
hsa-mir-146a,Preeclampsia,26831660
hsa-mir-1246,Systemic Lupus Erythematosus,26848406
hsa-mir-4732,Systemic Lupus Erythematosus,26860517
hsa-mir-6088,Systemic Lupus Erythematosus,26861642
hsa-mir-194,Traumatic Brain Injury,26864161
hsa-mir-450,Traumatic Brain Injury,26864161
hsa-mir-128,Systemic Lupus Erythematosus,26908869
hsa-mir-181a,Systemic Lupus Erythematosus,26908869
hsa-mir-361,Systemic Lupus Erythematosus,27005938
hsa-mir-142,Acute Lung Injury,27049094
hsa-mir-301b,Acute Lung Injury,27110261
hsa-mir-503,Acute Lung Injury,27129184
hsa-mir-547,Acute Lung Injury,27129184
hsa-mir-141,Parkinson Disease,27129184
hsa-mir-199a,Parkinson Disease,27129184
hsa-mir-299,Parkinson Disease,27129184
hsa-mir-518e,Parkinson Disease,27129184
hsa-mir-519a,Parkinson Disease,27129184
hsa-mir-151a,Lupus Nephritis,27152453
hsa-mir-15b,Systemic Lupus Erythematosus,27152955
hsa-mir-19b,Systemic Lupus Erythematosus,27171002
hsa-mir-22,Systemic Lupus Erythematosus,27197674
hsa-mir-25,Systemic Lupus Erythematosus,27197674
hsa-mir-93,Systemic Lupus Erythematosus,27199451
hsa-mir-126,Kidney Neoplasms,27199509
hsa-mir-17,Kidney Neoplasms,27312312
hsa-mir-21,Kidney Neoplasms,27321479
hsa-mir-214,Arthritis,27321479
