bacterial infections and mycoses,['c01']
"syphilis, cutaneous","['c01.252.400.840.744.800', 'c01.252.825.790', 'c01.252.847.840.744.800', 'c01.539.800.720.790', 'c17.800.838.765.790']"
"syphilis, latent","['c01.252.400.840.744.871', 'c01.252.847.840.744.871']"
yaws,"['c01.252.400.840.892', 'c01.252.825.910', 'c01.252.847.840.892', 'c01.539.800.720.910', 'c17.800.838.765.910']"
vibrio infections,['c01.252.400.959']
cholera,['c01.252.400.959.347']
gram-positive bacterial infections,['c01.252.410']
actinomycetales infections,['c01.252.410.040']
actinomycosis,['c01.252.410.040.137']
"actinomycosis, cervicofacial","['c01.252.410.040.137.262', 'c01.252.825.110', 'c01.539.800.720.110', 'c17.800.838.765.110']"
whipple disease,"['c01.252.410.040.137.631', 'c06.405.469.637.925', 'c18.452.603.925']"
corynebacterium infections,['c01.252.410.040.246']
diphtheria,['c01.252.410.040.246.388']
erythrasma,"['c01.252.410.040.246.430', 'c01.252.825.320', 'c01.539.800.720.320', 'c17.800.838.765.320']"
mycobacterium infections,['c01.252.410.040.552']
leprosy,['c01.252.410.040.552.386']
"leprosy, multibacillary",['c01.252.410.040.552.386.775']
"leprosy, lepromatous",['c01.252.410.040.552.386.775.500']
"leprosy, paucibacillary",['c01.252.410.040.552.386.850']
"leprosy, borderline",['c01.252.410.040.552.386.850.249']
"leprosy, tuberculoid",['c01.252.410.040.552.386.850.500']
"mycobacterium infections, nontuberculous",['c01.252.410.040.552.475']
buruli ulcer,"['c01.252.410.040.552.475.247', 'c17.800.893.295']"
mycobacterium avium-intracellulare infection,['c01.252.410.040.552.475.495']
paratuberculosis,"['c01.252.410.040.552.588', 'c22.688']"
tuberculosis,['c01.252.410.040.552.846']
latent tuberculosis,['c01.252.410.040.552.846.122']
"peritonitis, tuberculous","['c01.252.410.040.552.846.246', 'c01.539.463.600.249', 'c06.844.640.249']"
tuberculoma,['c01.252.410.040.552.846.493']
"tuberculoma, intracranial","['c01.252.410.040.552.846.493.400', 'c01.252.410.040.552.846.570.300', 'c10.228.228.180.850.400']"
"tuberculosis, avian","['c01.252.410.040.552.846.516', 'c22.131.921']"
"tuberculosis, bovine","['c01.252.410.040.552.846.538', 'c22.196.927']"
"tuberculosis, cardiovascular","['c01.252.410.040.552.846.561', 'c01.539.190.750', 'c14.260.750']"
"pericarditis, tuberculous","['c01.252.410.040.552.846.561.595', 'c01.539.190.750.595', 'c14.260.750.595', 'c14.280.720.801']"
"tuberculosis, central nervous system","['c01.252.410.040.552.846.570', 'c10.228.228.180.850']"
"tuberculosis, cutaneous","['c01.252.410.040.552.846.583', 'c01.252.825.820', 'c01.539.800.720.820', 'c17.800.838.765.820']"
erythema induratum,"['c01.252.410.040.552.846.583.260', 'c01.252.825.820.260', 'c01.539.800.720.820.260', 'c17.300.710.329', 'c17.800.229.329', 'c17.800.566.329', 'c17.800.838.765.820.320']"
lupus vulgaris,"['c01.252.410.040.552.846.583.470', 'c01.252.825.820.470', 'c01.539.800.720.820.470', 'c17.800.838.765.820.470']"
"tuberculosis, endocrine","['c01.252.410.040.552.846.606', 'c19.927']"
"tuberculosis, gastrointestinal","['c01.252.410.040.552.846.628', 'c06.405.874']"
"tuberculosis, hepatic","['c01.252.410.040.552.846.651', 'c06.552.933']"
"tuberculosis, laryngeal","['c01.252.410.040.552.846.696', 'c08.360.860', 'c08.730.860', 'c09.400.860']"
"tuberculosis, lymph node","['c01.252.410.040.552.846.719', 'c15.604.315.809', 'c15.604.921']"
king's evil,"['c01.252.410.040.552.846.719.500', 'c15.604.921.500']"
"tuberculosis, miliary",['c01.252.410.040.552.846.764']
"tuberculosis, multidrug-resistant",['c01.252.410.040.552.846.775']
extensively drug-resistant tuberculosis,['c01.252.410.040.552.846.775.500']
"tuberculosis, oral","['c01.252.410.040.552.846.809', 'c07.465.943']"
"tuberculosis, osteoarticular","['c01.252.410.040.552.846.831', 'c01.539.160.886', 'c05.116.165.886']"
"tuberculosis, spinal","['c01.252.410.040.552.846.831.722', 'c01.539.160.886.722', 'c05.116.165.886.722', 'c05.116.900.853.850']"
"tuberculosis, pleural","['c01.252.410.040.552.846.877', 'c08.528.928', 'c08.730.912']"
"empyema, tuberculous","['c01.252.410.040.552.846.877.405', 'c01.539.739.484.320', 'c01.539.830.305.310.320', 'c08.528.240.320', 'c08.528.928.405', 'c08.730.265.320', 'c08.730.912.405']"
"tuberculosis, pulmonary","['c01.252.410.040.552.846.899', 'c08.381.922', 'c08.730.939']"
silicotuberculosis,"['c01.252.410.040.552.846.899.669', 'c08.381.483.581.760.750', 'c08.381.520.702.760.750', 'c08.381.922.669', 'c08.730.939.669', 'c24.800.834.752']"
"tuberculosis, splenic","['c01.252.410.040.552.846.922', 'c15.604.744.909']"
"tuberculosis, urogenital","['c01.252.410.040.552.846.944', 'c12.672', 'c13.351.750']"
"tuberculosis, female genital","['c01.252.410.040.552.846.944.596', 'c13.351.500.758', 'c13.351.750.940']"
"tuberculosis, male genital","['c01.252.410.040.552.846.944.721', 'c12.294.909', 'c12.672.721']"
"tuberculosis, renal","['c01.252.410.040.552.846.944.847', 'c12.672.847', 'c12.777.419.912', 'c13.351.750.970', 'c13.351.968.419.912']"
nocardia infections,['c01.252.410.040.692']
mycetoma,"['c01.252.410.040.692.606', 'c01.252.825.557', 'c01.539.800.200.500', 'c01.539.800.720.557', 'c01.703.295.522', 'c17.800.838.208.557', 'c17.800.838.765.557']"
bacillaceae infections,['c01.252.410.090']
anthrax,['c01.252.410.090.072']
bifidobacteriales infections,['c01.252.410.110']
clostridium infections,['c01.252.410.222']
botulism,"['c01.252.410.222.151', 'c10.668.758.200', 'c10.720.150', 'c25.723.415.151']"
"enterocolitis, pseudomembranous","['c01.252.410.222.310', 'c06.405.205.596.800', 'c06.405.469.363.800']"
enterotoxemia,"['c01.252.410.222.325', 'c22.313']"
gas gangrene,['c01.252.410.222.440']
tetanus,['c01.252.410.222.864']
erysipelothrix infections,"['c01.252.410.334', 'c22.331']"
erysipeloid,['c01.252.410.334.329']
swine erysipelas,"['c01.252.410.334.776', 'c22.331.693', 'c22.905.832']"
listeriosis,['c01.252.410.514']
staphylococcal infections,['c01.252.410.868']
"pneumonia, staphylococcal","['c01.252.410.868.675', 'c01.252.620.620', 'c08.381.677.540.620', 'c08.730.610.540.620']"
staphylococcal food poisoning,"['c01.252.410.868.806', 'c25.723.415.846']"
staphylococcal skin infections,"['c01.252.410.868.820', 'c01.252.825.770', 'c01.539.800.720.770', 'c17.800.838.765.770']"
furunculosis,"['c01.252.410.868.820.270', 'c01.252.825.770.270', 'c01.539.800.720.770.270', 'c17.800.838.765.770.270', 'c22.362.224']"
carbuncle,"['c01.252.410.868.820.270.200', 'c01.252.825.770.270.200', 'c01.539.800.720.770.270.200', 'c17.800.838.765.770.270.200']"
impetigo,"['c01.252.410.868.820.504', 'c01.252.410.890.485', 'c01.252.825.770.360', 'c01.539.800.720.770.360', 'c17.800.838.765.770.360']"
staphylococcal scalded skin syndrome,"['c01.252.410.868.820.770', 'c01.252.825.770.770', 'c01.539.800.720.770.770', 'c17.800.838.765.770.770']"
streptococcal infections,['c01.252.410.890']
ecthyma,"['c01.252.410.890.210', 'c01.252.825.210', 'c01.539.800.720.210', 'c17.800.695.210', 'c17.800.838.765.210']"
erysipelas,"['c01.252.410.890.328', 'c01.252.825.260', 'c01.539.800.720.260', 'c17.800.838.765.260']"
pneumococcal infections,['c01.252.410.890.670']
"pneumonia, pneumococcal","['c01.252.410.890.670.750', 'c01.252.620.550', 'c08.381.677.540.550', 'c08.730.610.540.550']"
rheumatic fever,"['c01.252.410.890.731', 'c05.550.114.843', 'c05.799.825']"
rheumatic heart disease,"['c01.252.410.890.731.649', 'c14.280.874']"
scarlet fever,['c01.252.410.890.823']
"pneumonia, bacterial","['c01.252.620', 'c08.381.677.540', 'c08.730.610.540']"
"pneumonia of calves, enzootic","['c01.252.620.530', 'c08.381.677.540.530', 'c08.730.085.675', 'c08.730.610.540.530', 'c22.196.090.675']"
"pneumonia of swine, mycoplasmal","['c01.252.620.540', 'c08.381.677.540.540', 'c08.730.610.540.540', 'c22.905.626']"
"sexually transmitted diseases, bacterial","['c01.252.810', 'c01.539.778.281', 'c12.294.668.281', 'c13.351.500.711.281']"
"skin diseases, bacterial","['c01.252.825', 'c01.539.800.720', 'c17.800.838.765']"
digital dermatitis,"['c01.252.825.180', 'c01.539.800.720.180', 'c17.800.838.765.180', 'c22.214']"
"fasciitis, necrotizing","['c01.252.825.340', 'c05.321.550']"
hidradenitis suppurativa,"['c01.252.825.420', 'c01.539.800.720.420', 'c01.539.830.499', 'c17.800.838.765.420', 'c17.800.946.315.320']"
spirochaetales infections,['c01.252.847']
"vaginosis, bacterial","['c01.252.954', 'c13.351.500.894.906.800']"
"toxoplasmosis, cerebral","['c01.323.800', 'c01.539.830.025.160.800', 'c03.105.300.800', 'c03.752.250.800.250', 'c10.228.140.116.800', 'c10.228.228.090.800', 'c10.228.228.205.300.800']"
central nervous system infections,"['c01.395', 'c10.228.228']"
infection,['c01.539']
"aneurysm, infected","['c01.539.069', 'c14.907.055.131']"
"arthritis, infectious","['c01.539.100', 'c05.550.114.099']"
"arthritis, reactive","['c01.539.100.500', 'c05.116.900.853.625.800.637', 'c05.550.114.099.500', 'c05.550.114.865.800.637']"
"bone diseases, infectious","['c01.539.160', 'c05.116.165']"
osteitis,"['c01.539.160.412', 'c05.116.165.412', 'c05.116.680']"
osteomyelitis,"['c01.539.160.495', 'c05.116.165.495']"
mastoiditis,"['c01.539.160.495.500', 'c05.116.165.495.249', 'c09.218.705.663.652']"
petrositis,"['c01.539.160.495.750', 'c05.116.165.495.500', 'c09.218.705.663.841']"
pott puffy tumor,"['c01.539.160.495.875', 'c05.116.165.495.750', 'c11.675.689']"
periostitis,"['c01.539.160.595', 'c05.116.165.595']"
spondylitis,"['c01.539.160.762', 'c05.116.165.762', 'c05.116.900.853']"
discitis,"['c01.539.160.762.301', 'c05.116.165.762.301', 'c05.116.900.853.500']"
cardiovascular infections,"['c01.539.190', 'c14.260']"
catheter-related infections,['c01.539.195']
coinfection,"['c01.539.218', 'c02.219']"
communicable diseases,['c01.539.221']
"communicable diseases, emerging",['c01.539.221.500']
community-acquired infections,['c01.539.234']
cross infection,['c01.539.248']
"pneumonia, ventilator-associated","['c01.539.248.500', 'c08.381.520.750.750', 'c08.381.677.800', 'c08.730.610.750']"
eye infections,"['c01.539.375', 'c11.294']"
corneal ulcer,"['c01.539.375.177', 'c11.204.564.225', 'c11.294.177']"
endophthalmitis,"['c01.539.375.265', 'c11.294.265']"
"eye infections, fungal","['c01.539.375.450', 'c01.703.343', 'c11.294.450']"
focal infection,['c01.539.392']
"focal infection, dental","['c01.539.392.433', 'c07.793.348']"
intraabdominal infections,['c01.539.463']
appendicitis,"['c01.539.463.099', 'c06.405.205.099', 'c06.405.469.110.207']"
diverticulitis,"['c01.539.463.298', 'c06.405.205.298']"
peritonitis,"['c01.539.463.600', 'c06.844.640']"
subphrenic abscess,"['c01.539.463.600.500', 'c01.539.830.025.020.810', 'c06.844.640.500']"
typhlitis,"['c01.539.463.850', 'c06.405.205.932', 'c06.405.469.110.708']"
laboratory infection,"['c01.539.503', 'c24.506']"
ludwig's angina,"['c01.539.535', 'c07.465.433']"
opportunistic infections,"['c01.539.597', 'c02.597', 'c03.684']"
aids-related opportunistic infections,"['c01.539.597.050', 'c02.597.050', 'c02.782.815.616.400.100', 'c03.684.050', 'c20.673.480.100']"
superinfection,"['c01.539.597.880', 'c02.597.880', 'c03.684.880']"
pelvic infection,['c01.539.635']
pelvic inflammatory disease,"['c01.539.635.500', 'c13.351.500.056.750']"
"pregnancy complications, infectious","['c01.539.674', 'c13.703.700']"
"abortion, septic","['c01.539.674.173', 'c13.703.039.256', 'c13.703.700.173']"
puerperal infection,"['c01.539.674.715', 'c13.703.700.715', 'c13.703.844.757']"
prosthesis-related infections,"['c01.539.685', 'c23.550.767.868']"
reproductive tract infections,"['c01.539.730', 'c12.294.604', 'c13.351.500.630']"
respiratory tract infections,"['c01.539.739', 'c08.730']"
"empyema, pleural","['c01.539.739.484', 'c01.539.830.305.310', 'c08.528.240', 'c08.730.265']"
sepsis,"['c01.539.757', 'c23.550.470.790.500']"
endotoxemia,"['c01.539.757.100.275', 'c01.539.861.375', 'c23.550.470.790.500.100.275']"
fungemia,"['c01.539.757.360', 'c01.703.360', 'c23.550.470.790.500.360']"
candidemia,"['c01.539.757.360.150', 'c01.703.160.175.150', 'c01.703.360.150', 'c23.550.470.790.500.360.150']"
"shock, septic","['c01.539.757.800', 'c23.550.470.790.500.800', 'c23.550.835.900.712']"
sexually transmitted diseases,"['c01.539.778', 'c02.800', 'c12.294.668', 'c13.351.500.711']"
"skin diseases, infectious","['c01.539.800', 'c17.800.838']"
cellulitis,"['c01.539.800.130', 'c01.539.830.200', 'c17.300.185', 'c23.550.470.756.200']"
dermatomycoses,"['c01.539.800.200', 'c01.703.295', 'c17.800.838.208']"
blastomycosis,"['c01.539.800.200.055', 'c01.703.128', 'c01.703.295.055', 'c17.800.838.208.055']"
"candidiasis, chronic mucocutaneous","['c01.539.800.200.100', 'c01.703.160.165', 'c01.703.295.165', 'c17.800.838.208.165']"
"candidiasis, cutaneous","['c01.539.800.200.105', 'c01.703.160.170', 'c01.703.295.170', 'c17.800.838.208.170']"
chromoblastomycosis,"['c01.539.800.200.110', 'c01.703.295.182', 'c17.800.838.208.241']"
hyalohyphomycosis,"['c01.539.800.200.383', 'c01.703.295.328', 'c01.703.513', 'c17.800.838.208.416']"
aspergillosis,"['c01.539.800.200.383.249', 'c01.703.295.328.249', 'c01.703.513.249', 'c17.800.838.208.416.249']"
"aspergillosis, allergic bronchopulmonary","['c01.539.800.200.383.249.074', 'c01.703.295.328.249.074', 'c01.703.513.249.074', 'c01.703.534.090', 'c08.381.472.850.500', 'c08.674.060', 'c08.730.435.090', 'c17.800.838.208.416.249.074', 'c20.543.480.680.085']"
fusariosis,"['c01.539.800.200.383.500', 'c01.703.295.328.500', 'c01.703.513.500', 'c17.800.838.208.416.500']"
lobomycosis,"['c01.539.800.200.475', 'c01.703.295.475', 'c17.800.838.208.475']"
paracoccidioidomycosis,"['c01.539.800.200.600', 'c01.703.295.600', 'c01.703.700', 'c17.800.838.208.600']"
phaeohyphomycosis,"['c01.539.800.200.637', 'c01.703.295.637', 'c01.703.726', 'c17.800.838.208.637']"
sporotrichosis,"['c01.539.800.200.675', 'c01.703.295.675', 'c17.800.838.208.675']"
tinea,"['c01.539.800.200.720', 'c01.703.295.872', 'c17.800.838.208.883']"
onychomycosis,"['c01.539.800.200.720.550', 'c01.703.295.872.458', 'c17.800.529.550', 'c17.800.838.208.883.458']"
tinea capitis,"['c01.539.800.200.720.730', 'c01.703.295.872.541', 'c17.800.738.708', 'c17.800.838.208.883.558']"
tinea favosa,"['c01.539.800.200.720.730.740', 'c01.703.295.872.541.500', 'c17.800.738.708.708', 'c17.800.838.208.883.558.708']"
tinea pedis,"['c01.539.800.200.720.760', 'c01.703.295.872.707', 'c17.800.321.125.500', 'c17.800.838.208.883.658', 'c23.888.885.625.500']"
tinea versicolor,"['c01.539.800.200.860', 'c01.703.295.936', 'c17.800.838.208.941']"
paronychia,"['c01.539.800.460', 'c17.800.529.639', 'c17.800.838.486']"
soft tissue infections,['c01.539.820']
suppuration,"['c01.539.830', 'c23.550.470.756']"
abscess,"['c01.539.830.025', 'c23.550.470.756.100']"
abdominal abscess,['c01.539.830.025.020']
liver abscess,"['c01.539.830.025.020.455', 'c06.552.597']"
"liver abscess, amebic","['c01.539.830.025.020.455.460', 'c03.518.600', 'c03.752.049.703', 'c06.552.597.517', 'c06.552.664.642']"
"liver abscess, pyogenic","['c01.539.830.025.020.455.730', 'c06.552.597.758']"
lung abscess,"['c01.539.830.025.490', 'c08.381.450', 'c08.730.407']"
periapical abscess,"['c01.539.830.025.650', 'c07.320.830.700.700', 'c07.465.714.306.700.700', 'c07.465.714.533.487.700']"
periodontal abscess,"['c01.539.830.025.665', 'c07.465.714.533.650']"
peritonsillar abscess,"['c01.539.830.025.675', 'c07.550.781.750.500', 'c08.730.561.750.500', 'c09.775.649.750.500']"
psoas abscess,['c01.539.830.025.700']
retropharyngeal abscess,"['c01.539.830.025.780', 'c07.550.781.625', 'c08.730.561.625', 'c09.775.649.625']"
